,var1,var2,p_valeur,v_cramer
94,d_a_time_convenient,gate_location,0.0,0.6135606047808888
95,d_a_time_convenient,inflight_wifi_service,1.8286839336429353e-06,0.009565022426525386
96,d_a_time_convenient,inflight_entertainment,0.0,0.10602422375565876
97,d_a_time_convenient,online_support,9.083845244408528e-27,0.0180010198281994
98,d_a_time_convenient,ease_online_booking,1.959755283974564e-29,0.01877452449399363
99,d_a_time_convenient,on_board_service,4.43982147396499e-165,0.041400588365994265
100,d_a_time_convenient,leg_room_service,0.0,0.447715946093542
101,d_a_time_convenient,baggage_handling,1.330280453928213e-285,0.05379041446990456
102,d_a_time_convenient,checkin_service,7.127559584016503e-218,0.04724285963422691
103,d_a_time_convenient,cleanliness,1.6816295063717e-311,0.056087363154299484
104,d_a_time_convenient,online_boarding,1.377433543585393e-08,0.010893091009186446
